event,date,country,city,artist,album,track,isrc,linkid,Year,Month,Day
preview,2021-08-24,Saudi Arabia,Riyadh,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,24
preview,2021-08-22,Serbia,Unknown,Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,GBCEL1300370,f2cc743e-da68-45a0-897f-6c2b53cc9a6b,2021,August,22
preview,2021-08-22,France,Unknown,"We The Kings, Elena Coats",Somewhere Somehow,Sad Song feat Elena Coats,QMGKG1300017,1daa786c-8675-486c-8789-e6e8af73099b,2021,August,22
preview,2021-08-22,United States,Rowlett,L.Dre,Steven Universe,Steven Universe,QZFZ32084911,df57e9c4-e4db-406a-a4de-f9b5cb59fcf3,2021,August,22
preview,2021-08-22,Canada,Lachine,NLE Choppa,Mmm Hmm,Mmm Hmm,USWB12102564,ebea52fd-8764-489d-a9e8-691125b4f341,2021,August,22
preview,2021-08-22,Saudi Arabia,Riyadh,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,522da5cc-8177-4140-97a7-a84fdb4caf1c,2021,August,22
preview,2021-08-22,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,22
preview,2021-08-22,India,Kolkata,Bazzi,COSMIC,Mine,USAT21704227,58802900-e783-45d7-be07-271d83efd3f8,2021,August,22
preview,2021-08-22,United Arab Emirates,Sharjah,Ed Sheeran,÷ (Deluxe),Perfect,GBAHS1700024,7ba36fe9-da9f-4f14-ac38-920d0346cc3b,2021,August,22
preview,2021-08-22,Iraq,Erbil,Miscél,when you left,when you left,QM42K1907890,2fc15e8b-83aa-40ee-9f9d-5d96c6d4356c,2021,August,22
preview,2021-08-22,Iraq,Erbil,Ariana Grande,"thank u, next",7 rings,USUM71900110,184041ab-9c90-4c29-8b6b-6ac2261be2d3,2021,August,22
preview,2021-08-22,Switzerland,Lausanne,"PEDRO SAMPAIO, Daniel Caon, Wesley Safadão",FALA MAL DE MIM,FALA MAL DE MIM,BRWMB2001244,2ac33111-c816-4562-9f32-a43b0ea06911,2021,August,22
preview,2021-08-22,Palestine,Gaza,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,22
preview,2021-08-22,United States,Washington,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e,2021,August,22
preview,2021-08-22,Palestine,Ramallah,Kina,Can We Kiss Forever?,Can We Kiss Forever?,USSM11914456,f65d020f-34d8-43ac-b47b-e08b27db138d,2021,August,22
preview,2021-08-22,France,Vannes,fantompower,Bootsie's View - Single,Bootsie's View,USAT22104033,75e1ede1-f70b-4c6c-8198-23c22092f3af,2021,August,22
preview,2021-08-22,Iraq,Unknown,Ariana Grande,"thank u, next",7 rings,USUM71900110,184041ab-9c90-4c29-8b6b-6ac2261be2d3,2021,August,22
preview,2021-08-22,Jersey,Jersey,"Dave, Stormzy",Clash (feat. Stormzy),Clash (feat. Stormzy),GBUM72103840,5d501227-1a9e-4830-ad81-e115d3879548,2021,August,22
preview,2021-08-22,Poland,Biery,fantompower,Bootsie's View - Single,Bootsie's View,USAT22104033,75e1ede1-f70b-4c6c-8198-23c22092f3af,2021,August,22
preview,2021-08-22,United Arab Emirates,Ajman,Ariana Grande,"thank u, next",7 rings,USUM71900110,184041ab-9c90-4c29-8b6b-6ac2261be2d3,2021,August,22
preview,2021-08-22,Iraq,Erbil,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3,2021,August,22
preview,2021-08-24,North Macedonia,Ohrid,"Sub Urban, Bella Poarch",INFERNO,INFERNO,USWB12101521,92eb2fcc-1d3a-49fe-a000-916f92f8dcf9,2021,August,24
preview,2021-08-24,United Kingdom,Burgess Hill,Groove Delight,San Andreas,San Andreas - Radio Edit,ES71G1633735,5df02edc-daea-47f0-ac73-0ca9441dfae9,2021,August,24
preview,2021-08-24,United States,Vilonia,Lil Tecca,MONEY ON ME,MONEY ON ME,USUM72112304,b329bd67-e62e-4c16-9d65-74e068d4094b,2021,August,24
preview,2021-08-24,France,Lyon,"DLJ, BIDØ",Time Capsule,To the Moon,GBKQU2171093,0211bf4d-0e9d-46c2-889c-f97872280820,2021,August,24
preview,2021-08-24,Netherlands,Utrecht,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,24
preview,2021-08-24,Saudi Arabia,Jeddah,Reyanna Maria,So Pretty,So Pretty,USUM72100871,23199824-9cf5-4b98-942a-34965c3b0cc2,2021,August,24
preview,2021-08-24,Saudi Arabia,Medina,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,24
preview,2021-08-24,Denmark,Odense,Vitamin A,Happy Birthday,Happy Birthday,US3DF1612162,f563adc4-d7c6-4d70-93d0-06bab552f642,2021,August,24
preview,2021-08-24,Pakistan,Islamabad,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3,2021,August,24
